age,monthly_avg_access_days,weekly_avg_access_days,weight_records,sleep_records,food_records,menstruation_records
30,7,2,5,396,6,0
52,17,5,34,109,97,0
48,11,3,86,342,15,1
39,16,4,363,584,438,14
25,5,2,5,26,1,1
36,9,2,5,6,0,2
44,12,3,148,74,21,20
28,18,5,5,79,15,1
34,12,3,67,23,3,23
32,15,5,73,121,7,6
45,24,5,441,536,675,33
47,25,6,6,245,1,25
42,11,3,139,241,0,6
38,24,6,187,0,234,16
57,12,3,1,0,2,0
40,26,6,524,396,719,17
38,2,1,2,27,1,0
49,13,3,235,87,0,18
41,5,2,7,280,6,3
,15,4,26,306,14,0
40,27,6,442,474,50,16
24,10,3,34,401,26,14
31,28,6,427,433,370,5
28,5,2,20,410,4,2
31,16,4,213,291,204,15
20,7,2,19,232,2,1
38,20,4,93,397,15,9
64,16,4,195,210,3,0
37,16,4,93,303,71,14
41,6,2,4,87,0,9
45,8,2,38,332,51,15
29,11,4,45,349,13,7
41,23,5,25,381,124,6
32,25,6,78,365,29,1
44,21,5,170,343,76,8
44,23,6,2,338,0,4
53,26,6,203,487,0,7
57,14,4,63,338,17,1
54,10,2,17,277,1,0
45,19,5,189,344,116,12
27,20,5,50,317,40,7
58,17,4,181,202,1,0
28,25,6,123,292,262,16
33,26,6,62,300,110,11
54,18,4,257,264,21,6
54,28,6,505,285,808,1
,28,6,349,271,887,13
24,21,5,6,244,69,10
30,18,4,121,259,50,1
55,5,2,50,34,35,1
38,27,6,272,2,21,11
53,11,4,3,67,0,1
52,28,6,2,412,0,0
59,28,6,680,650,1,0
35,16,4,27,474,0,23
22,15,3,166,374,167,19
40,28,6,495,647,1362,27
57,14,4,203,318,176,0
62,28,6,82,575,2,0
33,6,3,56,495,1,3
24,10,3,92,520,182,19
38,19,5,294,114,252,15
31,25,6,107,383,72,16
37,17,4,4,319,7,18
50,23,5,393,460,280,13
42,26,6,200,357,87,5
45,27,6,368,695,344,19
22,7,2,5,75,4,1
25,18,4,11,342,12,1
22,15,4,121,303,109,16
33,22,5,80,394,13,7
27,19,5,202,276,693,13
35,24,6,33,354,35,3
49,25,6,4,374,0,0
80,28,6,656,362,578,0
31,8,3,28,259,27,2
51,22,6,181,241,63,0
60,28,6,2,0,0,0
55,27,6,370,348,34,0
56,5,1,3,259,0,0
39,27,6,308,326,1175,7
54,28,6,448,315,224,0
29,19,4,184,308,209,9
50,28,6,262,296,1029,0
31,15,3,125,304,3,4
56,27,6,251,640,398,1
55,17,4,6,308,1,1
52,27,6,311,306,11,1
42,16,4,61,135,33,1
19,21,5,13,293,16,9
47,26,6,75,296,118,2
36,23,5,212,259,495,0
38,24,6,155,259,208,10
42,21,5,4,255,0,7
33,10,3,10,262,8,1
51,14,3,68,179,0,0
54,26,6,8,254,0,0
45,27,6,79,252,18,10
27,21,5,1,221,11,2
51,12,3,13,126,1,6
47,28,6,173,138,1,0
20,9,3,8,0,0,1
43,17,4,0,62,6,20
37,15,4,2,1,0,0
48,27,6,127,644,244,0
46,10,3,35,2,0,4
57,29,6,303,300,124,0
42,15,3,61,48,3,19
30,22,5,56,101,5,4
51,17,4,124,0,0,1
41,28,6,419,459,177,16
44,25,6,510,452,358,18
41,14,3,152,439,23,9
48,27,6,246,404,21,1
35,6,2,2,129,0,4
46,18,4,58,357,612,7
34,16,4,6,302,16,3
55,27,6,690,429,61,11
33,26,6,359,371,451,4
24,7,2,27,328,10,0
65,24,5,242,322,18,0
28,27,6,69,252,6,4
45,14,4,3,213,2,1
54,27,6,88,326,417,1
43,26,6,333,320,5,9
57,9,2,10,303,88,0
45,20,5,46,267,45,0
38,27,6,325,326,2,18
49,23,5,59,310,16,12
42,16,4,44,224,2,0
56,28,6,39,308,911,0
53,26,6,711,294,801,0
45,23,6,254,260,670,7
52,21,5,234,287,446,2
54,26,6,292,290,1156,0
39,21,5,175,223,171,8
38,9,4,34,38,42,1
33,25,6,208,228,328,8
55,21,5,80,211,128,0
42,22,5,157,214,294,10
28,24,6,57,205,6,4
25,18,4,21,143,13,1
37,16,4,101,175,195,0
61,24,5,100,162,0,0
19,25,6,24,154,54,5
65,24,6,153,147,568,1
35,16,4,2,95,10,5
43,23,6,25,25,23,1
43,19,5,24,60,4,0
29,19,5,129,384,45,0
42,28,6,675,623,182,0
50,21,5,107,408,1,12
45,21,5,279,555,300,28
40,19,5,188,170,542,0
39,21,5,171,453,11,10
25,14,4,29,30,39,2
24,22,5,350,373,2,1
36,20,5,119,441,429,14
58,17,5,153,416,75,0
36,18,4,21,461,23,11
41,8,2,63,433,159,16
35,7,2,2,386,0,5
31,17,4,99,322,50,13
45,27,6,1,379,2,2
52,25,6,253,422,387,16
75,28,6,404,397,924,0
37,27,6,130,398,256,15
35,23,5,32,372,40,1
54,26,6,322,346,1,0
36,22,5,332,340,0,1
28,28,6,349,347,467,13
28,28,6,275,334,32,2
56,27,6,57,331,22,0
50,13,4,145,0,0,0
25,26,6,314,328,1,13
41,6,2,14,227,47,10
51,24,6,233,428,349,1
32,21,5,7,320,0,0
57,28,6,169,0,0,0
36,20,4,210,300,823,0
56,21,5,3,300,0,0
46,26,6,253,266,2,11
57,26,6,89,298,12,0
26,24,6,16,198,41,9
17,24,6,201,206,627,6
59,24,6,68,187,314,0
45,24,6,210,198,218,8
50,25,6,70,214,118,5
35,24,6,177,172,492,7
